省份,城市,确诊,死亡,治愈,时间
江苏,南通,40,0,40,5/28/2020 8:55
江苏,苏州,87,0,87,5/28/2020 8:55
江苏,南京,93,0,93,5/28/2020 8:55
江苏,无锡,55,0,55,5/28/2020 8:55
江苏,徐州,79,0,79,5/28/2020 8:55
江苏,连云港,48,0,48,5/28/2020 8:55
江苏,淮安,66,0,66,5/28/2020 8:55
江苏,镇江,12,0,12,5/28/2020 8:55
江苏,常州,51,0,51,5/28/2020 8:55
江苏,扬州,23,0,23,5/28/2020 8:55
江苏,盐城,27,0,27,5/28/2020 8:55
江苏,泰州,37,0,37,5/28/2020 8:55
新疆,兵团第九师,4,1,3,5/28/2020 8:55
新疆,吐鲁番,3,0,3,5/28/2020 8:55
新疆,乌鲁木齐,23,0,23,5/28/2020 8:55
新疆,昌吉州,4,0,4,5/28/2020 8:55
新疆,第八师石河子,4,1,3,5/28/2020 8:55
新疆,兵团第四师,10,1,9,5/28/2020 8:55
新疆,伊犁州,18,0,18,5/28/2020 8:55
新疆,六师五家渠,2,0,2,5/28/2020 8:55
新疆,兵团第十二师,3,0,3,5/28/2020 8:55
新疆,巴音郭楞蒙古自治州,3,0,3,5/28/2020 8:55
新疆,哈密市,1,0,1,5/28/2020 8:55
新疆,阿克苏,1,0,1,5/28/2020 8:55
黑龙江,哈尔滨,264,4,260,5/28/2020 8:55
黑龙江,境外输入,386,0,386,5/28/2020 8:55
黑龙江,牡丹江,25,0,25,5/28/2020 8:55
黑龙江,大庆,27,1,26,5/28/2020 8:55
黑龙江,地区待确认,0,0,0,5/28/2020 8:55
黑龙江,齐齐哈尔,43,1,42,5/28/2020 8:55
黑龙江,大兴安岭,3,0,3,5/28/2020 8:55
黑龙江,黑河,14,0,14,5/28/2020 8:55
黑龙江,双鸭山,52,3,49,5/28/2020 8:55
黑龙江,绥化,47,4,43,5/28/2020 8:55
黑龙江,鹤岗,5,0,5,5/28/2020 8:55
黑龙江,七台河,17,0,17,5/28/2020 8:55
黑龙江,鸡西,46,0,46,5/28/2020 8:55
黑龙江,伊春,1,0,1,5/28/2020 8:55
黑龙江,佳木斯,15,0,15,5/28/2020 8:55
河北,境外输入,10,0,10,5/28/2020 8:55
河北,唐山,58,1,57,5/28/2020 8:55
河北,张家口,41,0,41,5/28/2020 8:55
河北,邯郸,32,0,32,5/28/2020 8:55
河北,石家庄,29,0,29,5/28/2020 8:55
河北,承德,7,0,7,5/28/2020 8:55
河北,衡水,8,0,8,5/28/2020 8:55
河北,秦皇岛,10,1,9,5/28/2020 8:55
河北,邢台,23,1,22,5/28/2020 8:55
河北,廊坊,30,0,30,5/28/2020 8:55
河北,保定,32,0,32,5/28/2020 8:55
河北,沧州,48,3,45,5/28/2020 8:55
山西,境外输入,64,0,64,5/28/2020 8:55
山西,太原,21,0,21,5/28/2020 8:55
山西,晋中,37,0,37,5/28/2020 8:55
山西,大同,12,0,12,5/28/2020 8:55
山西,运城,19,0,19,5/28/2020 8:55
山西,晋城,10,0,10,5/28/2020 8:55
山西,忻州,7,0,7,5/28/2020 8:55
山西,长治,8,0,8,5/28/2020 8:55
山西,朔州,8,0,8,5/28/2020 8:55
山西,临汾,2,0,2,5/28/2020 8:55
山西,阳泉,4,0,4,5/28/2020 8:55
山西,吕梁,6,0,6,5/28/2020 8:55
浙江,境外输入,50,0,50,5/28/2020 8:55
浙江,省十里丰监狱,36,0,36,5/28/2020 8:55
浙江,丽水,17,0,17,5/28/2020 8:55
浙江,台州,146,0,146,5/28/2020 8:55
浙江,舟山,10,0,10,5/28/2020 8:55
浙江,衢州,14,0,14,5/28/2020 8:55
浙江,金华,55,0,55,5/28/2020 8:55
浙江,绍兴,42,0,42,5/28/2020 8:55
浙江,嘉兴,46,0,46,5/28/2020 8:55
浙江,湖州,10,0,10,5/28/2020 8:55
浙江,温州,504,1,503,5/28/2020 8:55
浙江,宁波,157,0,157,5/28/2020 8:55
浙江,杭州,181,0,181,5/28/2020 8:55
湖南,境外输入,1,0,1,5/28/2020 8:55
湖南,湘西自治州,8,0,8,5/28/2020 8:55
湖南,娄底,76,0,76,5/28/2020 8:55
湖南,怀化,40,0,40,5/28/2020 8:55
湖南,永州,44,0,44,5/28/2020 8:55
湖南,郴州,39,0,39,5/28/2020 8:55
